POINT (-58.460356209543505 -34.628326189561506);101;7;Banco Patagonia;Banco;CABA;Av. Rivadavia 6744;FLORES;7;Visual y Audio;;;RIVADAVIA AV. 6744;6744 RIVADAVIA AV.
POINT (-58.378402811717756 -34.627095710814665);23;2;Comafi;Banco;Contitución;Bernardo de Yrigoyen  1578;CONSTITUCION;1;Visual y Audio;;;IRIGOYEN
POINT (-58.415850393233711 -34.638713218063209);107;7;Banco Patagonia;Banco;CABA;Av. Caseros 3599;BOEDO;5;Visual y Audio;;;CASEROS AV. 3599;3599 CASEROS AV.
POINT (-58.50301486978411 -34.652498752584492);10;1;Macro;Banco;Capital federal;Av. Juan Bautista Alberdi 5902;MATADEROS;9;Visual y Audio;;;ALBERDI
POINT (-58.505756795641261 -34.654740127567848);49;4;Santander Rio;Banco;Capital federal;Av. Juan Bautista Alberdi 6224;MATADEROS;9;Visual y Audio;;;ALBERDI
POINT (-58.495896903765939 -34.645785105279295);103;7;Banco Patagonia;Banco;CABA;Av. Juan Bautista Alberdi 5002;MATADEROS;9;Visual y Audio;;;ALBERDI
POINT (-58.478694430346529 -34.657994158385826);108;7;Banco Patagonia;Banco;CABA;Av. Eva Perón 4902;VILLA LUGANO;8;Visual y Audio;;;PERON
POINT (-58.487655310898639 -34.545263955232691);70;4;Santander Rio;Banco;Capital federal;Vedia 3626;SAAVEDRA;12;Visual y Audio;;;VEDIA 3626;3626 VEDIA
POINT (-58.392380497158939 -34.606086308606784);6;1;Macro;Banco;Congreso;Av. Callao 264;BALVANERA;3;Visual y Audio;;;CALLAO AV. 264;264 CALLAO AV.
POINT (-58.411851700230116 -34.610741520294148);15;1;Macro;Banco;Capital federal;Av. Rivadavia 3202;BALVANERA;3;Visual y Audio;;;RIVADAVIA AV. 3202;3202 RIVADAVIA AV.
POINT (-58.399066289703626 -34.604436827708689);34;3;ICBC;Banco;Balvanera;Av. Corrientes 2267;BALVANERA;3;Visual y Audio;;;CORRIENTES AV. 2267;2267 CORRIENTES AV.
POINT (-58.399708393778631 -34.599828234988244);71;4;Santander Rio;Banco;Capital federal;Av. Cordoba 2282;BALVANERA;3;Visual
POINT (-58.411593298275086 -34.602622149454298);91;5;HSBC;Banco;Capital federal;Agüero 628;BALVANERA;3;Visual y Audio;;;AGUERO 628;628 AGUERO
POINT (-58.410309558470182 -34.604211728280085);100;7;Banco Patagonia;Banco;CABA;Av. Corrientes 3200;BALVANERA;3;Visual y Audio;;;CORRIENTES AV. 3200;3200 CORRIENTES AV.
POINT (-58.391882480235253 -34.61534990439786);110;7;Banco Patagonia;Banco;CABA;Av. Entre Rios 555;BALVANERA;3;Visual y Audio;;;ENTRE RIOS AV. 555;555 ENTRE RIOS AV.
POINT (-58.469754117889785 -34.57895990152295);14;1;Macro;Banco;Capital federal;Av. de los Inca 4138;VILLA ORTUZAR;15;Visual y Audio;;;DE LOS INCAS AV. 4138;4138 DE LOS INCAS AV.
POINT (-58.475222066644157 -34.579883026364044);119;7;Banco Patagonia;Banco;CABA;Av. Triumbirato 3897;VILLA ORTUZAR;15;Visual y Audio;;;TRIUNVIRATO AV. 3897;3897 TRIUNVIRATO AV.
POINT (-58.428063387691722 -34.577887739768514);67;4;Santander Rio;Banco;Capital federal;Av. Santa Fe 4846 / 48;PALERMO;14;Visual y Audio;;;SANTA FE AV. 4846;4846 SANTA FE AV.
POINT (-58.411177303764397 -34.581740169262069);12;1;Macro;Banco;Capital federal;Av. Las Heras 3701;PALERMO;14;Visual y Audio;;;LAS HERAS GENERAL AV. 3701;3701 LAS HERAS GENERAL AV.
POINT (-58.42358284687235 -34.590228972425777);13;1;Macro;Banco;Capital federal;Av. Escalabrini Ortiz 1729;PALERMO;14;Visual y Audio;;;SCALABRINI ORTIZ
